Best: 0.023580 using {'batch_size': 10, 'epochs': 100}
0.004539980320259929 (0.001412226389950759) with: {'batch_size': 10, 'epochs': 5}
0.015560015415151915 (0.0011017524780177858) with: {'batch_size': 10, 'epochs': 10}
0.017110010609030724 (0.0011762513016506826) with: {'batch_size': 10, 'epochs': 20}
0.017710004622737568 (0.0004168722970671102) with: {'batch_size': 10, 'epochs': 50}
0.01639012697463234 (0.009300605201295643) with: {'batch_size': 10, 'epochs': 75}
0.02357998490333557 (0.0018544808421569457) with: {'batch_size': 10, 'epochs': 100}
0.004619985818862915 (0.0009976220255426107) with: {'batch_size': 20, 'epochs': 5}
0.010280032642185688 (0.0030256305196707375) with: {'batch_size': 20, 'epochs': 10}
0.015919989285369713 (0.0009473370373283026) with: {'batch_size': 20, 'epochs': 20}
0.017070021169881027 (0.0014786704260039709) with: {'batch_size': 20, 'epochs': 50}
0.02097996821006139 (0.002450956471778241) with: {'batch_size': 20, 'epochs': 75}
0.023320050289233524 (0.0035642241044900797) with: {'batch_size': 20, 'epochs': 100}
0.003899999428540468 (0.00017662349471273616) with: {'batch_size': 40, 'epochs': 5}
0.004639978675792615 (0.0015328263810969183) with: {'batch_size': 40, 'epochs': 10}
0.011820041729758183 (0.003322508182587972) with: {'batch_size': 40, 'epochs': 20}
0.01675000103811423 (0.0008822864018579953) with: {'batch_size': 40, 'epochs': 50}
0.01892000436782837 (0.0004044191262735471) with: {'batch_size': 40, 'epochs': 75}
0.02052999474108219 (0.0004995814835821634) with: {'batch_size': 40, 'epochs': 100}
0.0037700011550138393 (8.607094224195535e-05) with: {'batch_size': 100, 'epochs': 5}
0.006020019296556711 (0.0028933932752647743) with: {'batch_size': 100, 'epochs': 10}
0.010659978104134401 (0.003846703534606341) with: {'batch_size': 100, 'epochs': 20}
0.01622000616043806 (0.00046259930908142366) with: {'batch_size': 100, 'epochs': 50}
0.017139992366234463 (0.0005443624847370426) with: {'batch_size': 100, 'epochs': 75}
0.01766002768029769 (0.0019661393117609356) with: {'batch_size': 100, 'epochs': 100}
